Pointages AviM̩ca;;
t;x;y
s;m;m
0;0,00E+00;0,00E+00
0,04;6,43E-02;1,51E-01
0,08;1,35E-01;2,97E-01
0,12;2,06E-01;4,28E-01
0,16;2,82E-01;5,45E-01
0,2;3,53E-01;6,41E-01
0,24;4,26E-01;7,23E-01
0,28;5,01E-01;7,87E-01
0,32;5,74E-01;8,34E-01
0,36;6,47E-01;8,67E-01
0,4;7,18E-01;8,82E-01
0,44;7,92E-01;8,82E-01
0,48;8,65E-01;8,65E-01
0,52;9,33E-01;8,34E-01
0,56;1,00E+00;7,87E-01
0,6;1,07E+00;7,23E-01
0,64;1,14E+00;6,45E-01
0,68;1,21E+00;5,57E-01
0,72;1,27E+00;4,48E-01
0,76;1,34E+00;3,28E-01
0,8;1,40E+00;1,97E-01
0,84;1,46E+00;5,76E-02
